City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1626542,Sorong,ID,-0.88,131.25,77.27,85,100,7.31
606531,Boden,SE,65.83,21.69,41.0,75,75,5.82
5855927,Hilo,US,19.73,-155.09,76.6,61,1,5.82
610864,Khani,GE,41.96,42.96,59.0,93,0,4.7
5554428,Ketchikan,US,55.34,-131.65,43.52,100,75,2.24
3666640,Tumaco,CO,1.8,-78.82,81.73,76,100,15.05
4030556,Rikitea,PF,-23.12,-134.97,74.05,78,100,21.65
1262403,Murud,IN,18.33,72.97,77.77,88,4,8.05
5122534,Jamestown,US,42.1,-79.24,53.13,34,1,17.22
3369157,Cape Town,ZA,-33.93,18.42,60.85,87,20,9.17
3423146,Ilulissat,GL,69.22,-51.1,39.2,86,75,4.7
3893629,Coquimbo,CL,-29.95,-71.34,59.0,77,75,12.75
2074865,Carnarvon,AU,-24.87,113.63,69.8,68,40,18.34
2156643,Mount Gambier,AU,-37.83,140.77,48.2,87,86,5.82
2655394,Blairgowrie,GB,56.59,-3.34,48.49,83,99,0.94
2109528,Buala,SB,-8.14,159.59,81.14,75,74,4.32
2155415,New Norfolk,AU,-42.78,147.06,40.12,84,60,2.46
2079582,Alyangula,AU,-13.85,136.42,69.8,100,9,4.05
2026861,Berdigestyakh,RU,62.1,126.7,16.27,96,99,7.27
2121385,Severo-Kuril'sk,RU,50.68,156.12,43.12,67,27,15.37
1015776,Bredasdorp,ZA,-34.53,20.04,60.8,82,100,8.05
604490,Luleå,SE,65.58,22.15,41.0,75,75,5.82
4032243,Vaini,TO,-21.2,-175.2,77.0,94,75,16.11
2075265,Busselton,AU,-33.65,115.33,52.77,54,0,11.95
6255012,Flinders,AU,-34.58,150.86,64.27,82,100,1.01
3874787,Punta Arenas,CL,-53.15,-70.92,44.6,87,90,12.75
5106841,Albany,US,42.6,-73.97,56.14,27,0,8.79
3430863,Mar del Plata,AR,-38.0,-57.56,82.4,58,58,11.41
2015306,Tiksi,RU,71.69,128.87,20.79,98,100,9.95
2012956,Yerbogachën,RU,61.28,108.01,25.14,97,100,5.5
3833367,Ushuaia,AR,-54.8,-68.3,48.2,45,40,21.92
4035715,Avarua,CK,-21.21,-159.78,75.2,73,95,8.05
53654,Mogadishu,SO,2.04,45.34,79.34,83,67,13.42
4513583,Hamilton,US,39.18,-84.53,61.63,23,1,5.77
1852357,Shimoda,JP,34.67,138.95,51.01,95,100,1.01
934649,Cap Malheureux,MU,-19.98,57.61,73.0,77,2,3.0
1267390,Kavaratti,IN,10.57,72.64,81.54,79,45,9.69
3356213,Khorixas,NA,-20.37,14.97,71.91,46,0,10.96
5848280,Kapaa,US,22.08,-159.32,75.2,100,75,8.05
3832899,Viedma,AR,-40.81,-63.0,91.99,21,0,5.99
3366880,Hermanus,ZA,-34.42,19.23,61.0,87,100,1.99
4031637,Lavrentiya,RU,65.58,-171.0,37.0,93,52,0.65
2399001,Mayumba,GA,-3.43,10.66,76.93,87,68,6.69
8079926,Labuhan,ID,-6.88,112.21,78.4,78,98,10.54
1278969,Along,IN,28.17,94.77,69.39,87,8,2.08
321062,Birecik,TR,37.03,37.99,61.12,44,0,4.61
3466704,Castro,BR,-24.79,-50.01,73.17,42,12,7.36
1786764,Yichang,CN,30.71,111.28,54.0,68,77,2.33
6185377,Yellowknife,CA,62.46,-114.35,25.32,85,90,17.22
6355222,Yulara,AU,-25.24,130.99,68.0,56,0,16.11
2035593,Nianzishan,CN,47.52,122.88,34.03,79,0,7.2
5983720,Iqaluit,CA,63.75,-68.51,35.6,69,40,11.41
3831208,Qaanaaq,GL,77.48,-69.36,33.37,87,96,5.37
945945,Upington,ZA,-28.45,21.26,86.0,9,0,3.36
1714733,Dingle,PH,11.0,122.67,75.76,90,100,3.67
3372964,Lagoa,PT,39.05,-27.98,63.09,69,96,19.57
2163355,Hobart,AU,-42.88,147.33,41.86,93,45,6.93
3412093,Vestmannaeyjar,IS,63.44,-20.27,44.6,87,75,8.05
3870243,Taltal,CL,-25.4,-70.48,65.53,56,24,7.25
4954611,Watertown,US,42.37,-71.18,56.16,44,1,17.22
933995,Souillac,MU,-20.52,57.52,73.4,78,40,3.36
6201424,Mataura,NZ,-46.19,168.86,46.99,80,88,1.99
2126710,Beringovskiy,RU,63.05,179.32,36.3,79,50,3.33
964432,Port Alfred,ZA,-33.59,26.89,65.5,85,54,10.38
569295,Cherëmukhovo,RU,60.35,59.99,30.16,97,9,5.79
118826,Rāmhormoz,IR,31.28,49.6,77.0,17,0,4.7
2514651,Los Llanos de Aridane,ES,28.66,-17.92,69.49,69,75,6.11
3652764,Puerto Ayora,EC,-0.74,-90.35,75.18,57,75,17.22
5866583,Saint Paul Harbor,US,57.79,-152.41,46.4,65,90,5.82
1282714,Tānsen,NP,27.87,83.55,61.97,100,0,2.8
5973108,Hearst,CA,49.68,-83.67,40.48,68,73,6.87
546105,Nikolskoye,RU,59.7,30.79,39.38,69,75,6.71
1688859,San Nicolas,PH,18.17,120.6,77.0,88,20,2.24
3105522,Bereda,ES,43.27,-7.54,53.76,93,86,1.99
5546220,Saint George,US,37.1,-113.58,66.2,16,1,1.23
2686469,Örnsköldsvik,SE,63.29,18.72,35.6,76,41,4.7
5880054,Barrow,US,71.29,-156.79,15.8,78,1,14.99
2206939,Bluff,NZ,-46.6,168.33,46.99,80,89,1.99
1701054,Marawi,PH,8.0,124.29,75.0,92,100,4.0
2094342,Kavieng,PG,-2.57,150.8,82.18,70,100,4.81
2019004,Novaya Igirma,RU,57.13,103.91,41.25,91,100,10.04
1490256,Talnakh,RU,69.49,88.4,24.8,85,100,20.13
1263898,Mandapeta,IN,16.87,81.93,77.14,93,41,1.81
2122090,Pevek,RU,69.7,170.31,29.55,98,99,20.18
3381041,Mana,GF,5.66,-53.78,86.52,63,46,11.12
532715,Lyskovo,RU,56.03,45.04,34.79,88,3,3.0
1242110,Kalmunai,LK,7.42,81.82,80.58,75,99,2.17
1282256,Hithadhoo,MV,-0.6,73.08,83.66,78,82,19.28
2126123,Chokurdakh,RU,70.63,147.92,21.99,98,87,3.09
3421765,Nanortalik,GL,60.14,-45.24,40.8,88,91,2.68
964420,Port Elizabeth,ZA,-33.92,25.57,60.8,93,75,17.22
69500,Zabid,YE,14.2,43.32,88.75,52,1,2.51
2194098,Ahipara,NZ,-35.17,173.17,49.19,77,39,2.1
3893726,Constitución,CL,-35.33,-72.42,59.49,69,54,11.79
57000,Hobyo,SO,5.35,48.53,80.02,80,27,17.92
2264557,Ponta do Sol,PT,32.67,-17.1,66.0,68,40,11.41
3652758,Puerto Baquerizo Moreno,EC,-0.9,-89.6,75.2,73,75,10.29
1261853,Narasannapeta,IN,18.42,84.05,79.05,86,62,5.14
6089245,Norman Wells,CA,65.28,-126.83,17.6,72,20,3.36
3666475,Unguía,CO,8.04,-77.09,86.02,75,99,2.01
